,external_id,name,is_string,is_step,description,metadata
0,OPRM137:count,OPRM137 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
1,OPRM137:good,OPRM137 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
2,OPRM137:status,OPRM137 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
3,OPRM137:planned_status,OPRM137 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
4,OPFG978:count,OPFG978 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
5,OPFG978:good,OPFG978 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
6,OPFG978:status,OPFG978 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
7,OPFG978:planned_status,OPFG978 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
8,OPMT243:count,OPMT243 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
9,OPMT243:good,OPMT243 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
10,OPMT243:status,OPMT243 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
11,OPMT243:planned_status,OPMT243 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
12,OPPT241:count,OPPT241 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
13,OPPT241:good,OPPT241 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
14,OPPT241:status,OPPT241 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
15,OPPT241:planned_status,OPPT241 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
16,OPPHE637:count,OPPHE637 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
17,OPPHE637:good,OPPHE637 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
18,OPPHE637:status,OPPHE637 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
19,OPPHE637:planned_status,OPPHE637 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
20,OPAT812:count,OPAT812 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
21,OPAT812:good,OPAT812 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
22,OPAT812:status,OPAT812 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
